yearID,lgID,teamID,G,W,L,R,RA
1961,AL,NYA,163,109,53,827,612
1961,AL,DET,163,101,61,841,671
1961,AL,BAL,163,95,67,691,588
1961,AL,CHA,163,86,76,765,726
1961,AL,CLE,161,78,83,737,752
1961,AL,BOS,163,76,86,729,792
1961,AL,MIN,161,70,90,707,778
1961,AL,LAA,162,70,91,744,784
1961,AL,KC1,162,61,100,683,863
1961,AL,WS2,161,61,100,618,776
1961,NL,CIN,154,93,61,710,653
1961,NL,LAN,154,89,65,735,697
1961,NL,SFN,155,85,69,773,655
1961,NL,ML1,155,83,71,712,656
1961,NL,SLN,155,80,74,703,668
1961,NL,PIT,154,75,79,694,675
1961,NL,CHN,156,64,90,689,800
1961,NL,PHI,155,47,107,584,796
1962,AL,NYA,162,96,66,817,680
1962,AL,MIN,163,91,71,798,713
1962,AL,LAA,162,86,76,718,706
1962,AL,DET,161,85,76,758,692
1962,AL,CHA,162,85,77,707,658
1962,AL,CLE,162,80,82,682,745
1962,AL,BAL,162,77,85,652,680
1962,AL,BOS,160,76,84,707,756
1962,AL,KC1,162,72,90,745,837
1962,AL,WS2,162,60,101,599,716
1962,NL,SFN,165,103,62,878,690
1962,NL,LAN,165,102,63,842,697
1962,NL,CIN,162,98,64,802,685
1962,NL,PIT,161,93,68,706,626
1962,NL,ML1,162,86,76,730,665
1962,NL,SLN,163,84,78,774,664
1962,NL,PHI,161,81,80,705,759
1962,NL,HOU,162,64,96,592,717
1962,NL,CHN,162,59,103,632,827
1962,NL,NYN,161,40,120,617,948
1963,AL,NYA,161,104,57,714,547
1963,AL,CHA,162,94,68,683,544
1963,AL,MIN,161,91,70,767,602
1963,AL,BAL,162,86,76,644,621
1963,AL,CLE,162,79,83,635,702
1963,AL,DET,162,79,83,700,703
1963,AL,BOS,161,76,85,666,704
1963,AL,KC1,162,73,89,615,704
1963,AL,LAA,161,70,91,597,660
1963,AL,WS2,162,56,106,578,812
1963,NL,LAN,163,99,63,640,550
1963,NL,SLN,162,93,69,747,628
1963,NL,SFN,162,88,74,725,641
1963,NL,PHI,162,87,75,642,578
1963,NL,CIN,162,86,76,648,594
1963,NL,ML1,163,84,78,677,603
1963,NL,CHN,162,82,80,570,578
1963,NL,PIT,162,74,88,567,595
1963,NL,HOU,162,66,96,464,640
1963,NL,NYN,162,51,111,501,774
1964,AL,NYA,164,99,63,730,577
1964,AL,CHA,162,98,64,642,501
1964,AL,BAL,163,97,65,679,567
1964,AL,DET,163,85,77,699,678
1964,AL,LAA,162,82,80,544,551
1964,AL,CLE,164,79,83,689,693
1964,AL,MIN,163,79,83,737,678
1964,AL,BOS,162,72,90,688,793
1964,AL,WS2,162,62,100,578,733
1964,AL,KC1,163,57,105,621,836
1964,NL,SLN,162,93,69,715,652
1964,NL,CIN,163,92,70,660,566
1964,NL,PHI,162,92,70,693,632
1964,NL,SFN,162,90,72,656,587
1964,NL,ML1,162,88,74,803,744
1964,NL,LAN,164,80,82,614,572
1964,NL,PIT,162,80,82,663,636
1964,NL,CHN,162,76,86,649,724
1964,NL,HOU,162,66,96,495,628
1964,NL,NYN,163,53,109,569,776
1965,AL,MIN,162,102,60,774,600
1965,AL,CHA,162,95,67,647,555
1965,AL,BAL,162,94,68,641,578
1965,AL,DET,162,89,73,680,602
1965,AL,CLE,162,87,75,663,613
1965,AL,NYA,162,77,85,611,604
1965,AL,CAL,162,75,87,527,569
1965,AL,WS2,162,70,92,591,721
