Player,.id,Rating,Games,Win,Draw,Loss,Lag,Team_Name
1246,2015,2505.141896,34,34,0,0,0,Kentucky
1181,1999,2495.709549,33,32,0,1,0,Duke
1196,2014,2487.082377,34,32,0,2,0,Florida
1242,2010,2484.416374,34,32,0,2,1,Kansas
1314,2008,2480.365432,34,32,0,2,0,North Carolina
1181,1986,2479.977796,34,32,0,2,0,Duke
1272,2008,2479.282051,34,33,0,1,1,Memphis
1242,2011,2476.96819,34,32,0,2,1,Kansas
1455,2014,2473.576579,33,33,0,0,7,Wichita St
1242,1997,2473.348668,32,31,0,1,0,Kansas
1437,2015,2472.336607,34,32,0,2,1,Villanova
1228,2005,2470.849572,33,32,0,1,0,Illinois
1242,1998,2470.185979,36,33,0,3,0,Kansas
1246,2012,2470.140237,34,32,0,2,0,Kentucky
1326,2007,2468.78199,33,30,0,3,0,Ohio St
1246,2010,2468.385349,34,32,0,2,0,Kentucky
1246,2003,2467.55926,32,29,0,3,0,Kentucky
1458,2015,2465.284577,34,31,0,3,0,Wisconsin
1393,2012,2464.969741,33,31,0,2,2,Syracuse
1269,1996,2464.880152,32,31,0,1,1,Massachusetts
1424,1991,2464.698541,30,30,0,0,0,UNLV
1326,2011,2464.628216,34,32,0,2,0,Ohio St
1272,2009,2463.653396,34,31,0,3,1,Memphis
1424,1987,2459.479959,34,33,0,1,1,UNLV
1417,2008,2458.245969,33,30,0,3,1,UCLA
1112,2015,2458.129672,34,31,0,3,1,Arizona
1163,1996,2456.448354,32,30,0,2,1,Connecticut
1242,1986,2456.410044,33,30,0,3,1,Kansas
1277,1999,2455.541931,32,28,0,4,0,Michigan St
1211,2013,2453.301169,32,30,0,2,6,Gonzaga
1361,2011,2452.801421,32,30,0,2,1,San Diego St
1396,1988,2450.310238,30,29,0,1,3,Temple
1242,2007,2450.108879,34,30,0,4,0,Kansas
1314,1998,2449.48786,33,30,0,3,0,North Carolina
1181,1992,2447.407681,30,28,0,2,0,Duke
1242,2008,2446.400477,33,30,0,3,0,Kansas
1163,1999,2445.748011,30,28,0,2,1,Connecticut
1181,2006,2445.661225,33,30,0,3,0,Duke
1257,2009,2444.950583,33,28,0,5,1,Louisville
1153,2002,2444.638367,33,30,0,3,1,Cincinnati
1246,1998,2444.262669,33,29,0,4,0,Kentucky
1211,2015,2444.04311,33,31,0,2,5,Gonzaga
1246,1996,2443.698184,30,28,0,2,0,Kentucky
1207,1985,2443.531234,27,25,0,2,1,Georgetown
1257,2013,2443.496333,34,29,0,5,1,Louisville
1272,2007,2442.046047,33,30,0,3,1,Memphis
1112,1989,2441.669379,30,27,0,3,0,Arizona
1112,1988,2441.597072,33,31,0,2,0,Arizona
1390,2004,2441.566581,30,29,0,1,1,Stanford
