winner_id,Rating,ratings.Games,ratings.Win,ratings.Draw,ratings.Loss,ratings.Lag,season,Name
200652,2676.430412,80,74,0,6,1,1991,Monica Seles
200033,2671.352819,84,79,0,5,1,2013,Serena Williams
200003,2664.961095,67,63,0,4,0,2007,Justine Henin
200414,2662.748072,83,77,0,6,0,1993,Steffi Graf
200652,2654.580515,75,70,0,5,0,1992,Monica Seles
200414,2644.264189,77,72,0,5,1,1990,Steffi Graf
200414,2636.359718,78,71,0,7,0,1992,Steffi Graf
200079,2627.553853,102,90,0,12,2,2003,Kim Clijsters
200033,2620.72072,64,58,0,6,3,2012,Serena Williams
200001,2610.911763,88,78,0,10,3,2000,Martina Hingis
200017,2610.205032,83,74,0,9,0,1994,Arantxa Sanchez Vicario
200033,2601.849411,62,57,0,5,0,2002,Serena Williams
200128,2595.900955,71,60,0,11,0,1999,Lindsay Davenport
200414,2594.549678,74,66,0,8,1,1991,Steffi Graf
200128,2594.512196,74,64,0,10,6,2001,Lindsay Davenport
200001,2592.098627,81,76,0,5,0,1997,Martina Hingis
200003,2588.239625,87,76,0,11,2,2003,Justine Henin
200414,2587.806045,59,54,0,5,0,1996,Steffi Graf
200128,2582.556936,84,70,0,14,0,1998,Lindsay Davenport
200003,2581.696106,69,61,0,8,0,2006,Justine Henin
200414,2577.978659,50,48,0,2,1,1995,Steffi Graf
200079,2576.527072,77,68,0,9,0,2005,Kim Clijsters
201345,2575.428684,69,59,0,10,0,2006,Maria Sharapova
200001,2574.499856,82,70,0,12,0,1999,Martina Hingis
200065,2573.623395,77,65,0,12,2,2004,Amelie Mauresmo
200748,2571.076597,52,46,0,6,14,2001,Venus Williams
200293,2569.402855,62,53,0,9,1,1991,Martina Navratilova
200128,2568.253853,74,64,0,10,2,2004,Lindsay Davenport
200652,2565.979036,56,50,0,6,1,1990,Monica Seles
200748,2564.260838,45,41,0,4,10,2000,Venus Williams
200001,2563.819782,78,66,0,12,0,1998,Martina Hingis
201345,2554.701202,72,61,0,11,3,2012,Maria Sharapova
200017,2554.161987,84,67,0,17,0,1992,Arantxa Sanchez Vicario
200128,2552.531306,71,60,0,11,0,2005,Lindsay Davenport
200748,2549.272366,72,63,0,9,0,2002,Venus Williams
201458,2543.553023,80,68,0,12,3,2012,Victoria Azarenka
200096,2543.179686,56,43,0,13,0,2005,Mary Pierce
200414,2542.888843,64,58,0,6,0,1994,Steffi Graf
200748,2541.615978,72,60,0,12,0,1999,Venus Williams
201520,2538.893273,67,56,0,11,0,2011,Petra Kvitova
200017,2538.756866,87,74,0,13,0,1993,Arantxa Sanchez Vicario
200539,2537.566793,67,54,0,13,0,1996,Jana Novotna
201496,2536.211866,82,65,0,17,2,2010,Caroline Wozniacki
200033,2534.69203,47,40,0,7,6,2001,Serena Williams
200748,2533.236532,51,40,0,11,0,2008,Venus Williams
200128,2532.231473,74,60,0,14,0,2000,Lindsay Davenport
201347,2530.368333,89,69,0,20,0,2008,Jelena Jankovic
200001,2530.237776,69,52,0,17,0,1996,Martina Hingis
200079,2529.10366,68,51,0,17,0,2002,Kim Clijsters
200572,2527.300312,73,62,0,11,1,1991,Gabriela Sabatini
200293,2527.225631,46,38,0,8,0,1992,Martina Navratilova
200128,2526.19644,75,59,0,16,0,1997,Lindsay Davenport
200572,2525.456395,77,65,0,12,0,1992,Gabriela Sabatini
200572,2525.374829,59,46,0,13,1,1990,Gabriela Sabatini
200077,2525.203351,55,43,0,12,1,1991,Jennifer Capriati
200049,2524.903837,73,63,0,10,0,1995,Conchita Martinez
200033,2523.233842,59,53,0,6,9,2015,Serena Williams
200033,2522.508168,62,52,0,10,2,2014,Serena Williams
200049,2519.626418,79,66,0,13,0,1993,Conchita Martinez
200065,2515.536964,73,56,0,17,0,2005,Amelie Mauresmo
201345,2513.902001,71,55,0,16,2,2004,Maria Sharapova
200079,2513.733774,47,40,0,7,2,2010,Kim Clijsters
200017,2511.059402,76,61,0,15,1,1991,Arantxa Sanchez Vicario
200414,2511.053335,42,33,0,9,0,1998,Steffi Graf
200033,2510.782963,41,38,0,3,20,2003,Serena Williams
200539,2510.107269,68,53,0,15,0,1997,Jana Novotna
200652,2508.632087,59,50,0,9,0,1996,Monica Seles
200539,2501.030228,54,43,0,11,0,1994,Jana Novotna
200652,2500.875912,59,46,0,13,0,1998,Monica Seles
200033,2499.26159,63,50,0,13,2,2009,Serena Williams
200065,2498.900549,70,53,0,17,0,2003,Amelie Mauresmo
200652,2497.668865,70,57,0,13,0,2000,Monica Seles
200079,2495.869489,77,58,0,19,0,2001,Kim Clijsters
200108,2494.72453,73,56,0,17,0,2008,Elena Dementieva
200293,2492.033663,51,44,0,7,0,1993,Martina Navratilova
201594,2491.096069,67,50,0,17,0,2013,Simona Halep
200033,2491.037945,45,38,0,7,6,1999,Serena Williams
200748,2490.48062,60,50,0,10,4,2007,Venus Williams
200293,2488.845339,54,48,0,6,3,1990,Martina Navratilova
201419,2487.637201,60,46,0,14,1,2013,Na Li
200079,2486.14395,57,44,0,13,0,2006,Kim Clijsters
200597,2485.230555,50,40,0,10,1,1990,Mary Joe Fernandez
201345,2484.134172,63,50,0,13,2,2014,Maria Sharapova
201329,2483.861891,67,49,0,18,2,2010,Vera Zvonareva
201329,2482.471503,87,64,0,23,0,2008,Vera Zvonareva
200008,2482.20718,29,27,0,2,9,1998,Alicia Molik
200033,2481.292199,53,44,0,9,0,2008,Serena Williams
200772,2479.077511,74,56,0,18,0,2004,Anastasia Myskina
200652,2477.68411,50,40,0,10,9,2001,Monica Seles
200033,2476.253252,45,37,0,8,13,2000,Serena Williams
201400,2475.828984,63,48,0,15,1,2005,Nicole Vaidisova
200077,2475.353527,70,56,0,14,6,2001,Jennifer Capriati
201336,2472.896988,76,56,0,20,0,2008,Dinara Safina
200065,2471.398604,66,51,0,15,0,2006,Amelie Mauresmo
200077,2468.982655,46,35,0,11,0,1992,Jennifer Capriati
200033,2465.08557,50,39,0,11,2,2004,Serena Williams
200003,2463.777195,39,34,0,5,5,2005,Justine Henin
201496,2462.988142,68,49,0,19,2,2014,Caroline Wozniacki
200748,2462.546463,63,50,0,13,4,1998,Venus Williams
201320,2461.798468,81,61,0,20,0,2006,Svetlana Kuznetsova
201492,2461.395051,71,54,0,17,5,2011,Andrea Petkovic
201345,2459.468846,66,53,0,13,0,2005,Maria Sharapova
201345,2458.993824,52,40,0,12,0,2007,Maria Sharapova
200120,2458.793745,76,53,0,23,6,2001,Jelena Dokic
200539,2458.675317,66,51,0,15,0,1998,Jana Novotna
201520,2457.411935,62,45,0,17,0,2014,Petra Kvitova
200003,2456.995124,40,36,0,4,11,2004,Justine Henin
200597,2455.891736,68,51,0,17,0,1992,Mary Joe Fernandez
201421,2455.51838,79,60,0,19,2,2014,Ana Ivanovic
201421,2454.182724,66,49,0,17,0,2007,Ana Ivanovic
200049,2453.35431,45,36,0,9,1,1990,Conchita Martinez
200003,2451.975903,78,60,0,18,0,2001,Justine Henin
200096,2451.057907,47,35,0,12,0,1998,Mary Pierce
201496,2450.56853,71,50,0,21,2,2012,Caroline Wozniacki
200539,2450.304406,63,47,0,16,0,1993,Jana Novotna
200128,2449.479539,63,48,0,15,7,2003,Lindsay Davenport
201458,2449.113351,79,60,0,19,2,2011,Victoria Azarenka
200008,2449.004749,62,42,0,20,3,2004,Alicia Molik
201419,2448.572108,63,46,0,17,3,2012,Na Li
200748,2448.24889,45,38,0,7,9,2010,Venus Williams
200652,2447.608403,59,45,0,14,0,1997,Monica Seles
200065,2445.768003,64,48,0,16,6,2002,Amelie Mauresmo
201364,2445.757283,64,46,0,18,2,2007,Tatiana Golovin
200096,2445.143559,63,45,0,18,0,1994,Mary Pierce
201474,2445.125161,68,49,0,19,2,2011,Agnieszka Radwanska
200128,2443.019492,66,51,0,15,0,1996,Lindsay Davenport
200455,2442.08503,63,47,0,16,1,1990,Katerina Maleeva
201345,2440.402063,49,39,0,10,0,2015,Maria Sharapova
200652,2439.942842,63,49,0,14,0,2002,Monica Seles
200081,2439.621898,67,50,0,17,0,1996,Anke Huber
200539,2439.166495,64,48,0,16,1,1991,Jana Novotna
201493,2438.792174,84,62,0,22,3,2012,Angelique Kerber
200001,2437.030005,75,60,0,15,9,2001,Martina Hingis
