.id,Player,Rating,Games,Win,Draw,Loss,Lag,name
2006,103819,2695.419131,97,92,0,5,1,Roger Federer
2015,104925,2688.979291,89,83,0,6,2,Novak Djokovic
1985,100656,2668.397683,91,84,0,7,0,Ivan Lendl
2013,104925,2661.524692,83,74,0,9,0,Novak Djokovic
2005,103819,2646.325834,85,81,0,4,1,Roger Federer
1987,100656,2639.885305,77,70,0,7,1,Ivan Lendl
2012,104925,2635.679675,87,75,0,12,2,Novak Djokovic
2014,104925,2635.325589,73,65,0,8,1,Novak Djokovic
2004,103819,2630.424053,81,75,0,6,1,Roger Federer
1986,100656,2622.474589,81,75,0,6,1,Ivan Lendl
2013,104745,2620.964098,83,76,0,7,2,Rafael Nadal
2010,103819,2615.136216,79,66,0,13,1,Roger Federer
1989,100656,2615.032854,87,80,0,7,1,Ivan Lendl
1986,101414,2601.810807,82,69,0,13,1,Boris Becker
1987,101222,2600.789221,90,78,0,12,1,Stefan Edberg
2007,103819,2600.081221,78,69,0,9,1,Roger Federer
1989,101414,2599.293358,73,65,0,8,0,Boris Becker
2011,103819,2598.37154,76,64,0,12,1,Roger Federer
2005,104745,2597.480232,89,79,0,10,4,Rafael Nadal
2008,104745,2596.474663,93,82,0,11,2,Rafael Nadal
2009,104925,2595.667373,97,78,0,19,1,Novak Djokovic
2015,103819,2591.645953,74,63,0,11,2,Roger Federer
2014,103819,2584.317332,87,74,0,13,0,Roger Federer
2010,104745,2569.680149,81,71,0,10,1,Rafael Nadal
1994,101948,2568.000151,90,78,0,12,0,Pete Sampras
2012,103819,2565.30041,87,74,0,13,2,Roger Federer
1993,101948,2561.437803,101,85,0,16,0,Pete Sampras
1990,101414,2560.277738,79,66,0,13,2,Boris Becker
1995,101736,2557.936025,82,73,0,9,5,Andre Agassi
1988,101414,2557.547473,65,56,0,9,0,Boris Becker
2011,104925,2556.237157,79,72,0,7,1,Novak Djokovic
1996,101948,2555.668615,78,66,0,12,2,Pete Sampras
2012,103970,2553.917532,91,76,0,15,1,David Ferrer
2011,104918,2552.842438,71,58,0,13,1,Andy Murray
2015,104918,2550.772957,86,71,0,15,0,Andy Murray
1994,101736,2549.89775,66,52,0,14,0,Andre Agassi
2008,104918,2548.204975,75,58,0,17,1,Andy Murray
1990,101222,2542.802466,75,63,0,12,0,Stefan Edberg
2003,103819,2541.578323,96,79,0,17,1,Roger Federer
1985,100581,2541.574967,82,72,0,10,0,John Mcenroe
1997,101948,2540.572945,69,57,0,12,0,Pete Sampras
1995,101948,2539.182304,89,72,0,17,0,Pete Sampras
1993,101529,2538.93878,98,76,0,22,0,Michael Stich
2001,103720,2537.939852,96,79,0,17,0,Lleyton Hewitt
2009,104918,2536.931793,78,66,0,12,1,Andy Murray
1985,101414,2535.843893,76,57,0,19,0,Boris Becker
2009,103819,2535.436428,73,61,0,12,1,Roger Federer
1999,101736,2533.552437,77,63,0,14,1,Andre Agassi
1989,101222,2532.52091,81,64,0,17,0,Stefan Edberg
1992,101948,2531.112158,91,72,0,19,0,Pete Sampras
2011,104745,2528.483213,85,70,0,15,0,Rafael Nadal
1991,101222,2524.443404,93,76,0,17,4,Stefan Edberg
1992,101414,2517.587349,68,52,0,16,2,Boris Becker
2010,104925,2517.335739,81,63,0,18,0,Novak Djokovic
2008,103819,2516.636055,83,67,0,16,1,Roger Federer
2007,104745,2515.934512,86,71,0,15,1,Rafael Nadal
2012,105223,2512.969494,82,65,0,17,2,Juan Martin Del Potro
1992,101964,2512.591442,80,61,0,19,0,Goran Ivanisevic
2012,104918,2511.535778,76,59,0,17,2,Andy Murray
2015,104745,2510.907379,81,61,0,20,2,Rafael Nadal
1988,101084,2509.154877,64,49,0,15,1,Jakob Hlasek
2009,103786,2508.804834,76,57,0,19,1,Nikolay Davydenko
2009,105223,2508.579596,70,54,0,16,1,Juan Martin Del Potro
1986,101222,2508.376103,91,70,0,21,0,Stefan Edberg
2003,104053,2507.497516,91,72,0,19,1,Andy Roddick
1987,101062,2506.104774,89,71,0,18,0,Mats Wilander
2000,103498,2505.788615,93,68,0,25,3,Marat Safin
1988,101736,2502.861112,74,63,0,11,1,Andre Agassi
2014,105453,2502.287436,69,54,0,15,1,Kei Nishikori
1985,101222,2501.264956,80,60,0,20,0,Stefan Edberg
2008,104925,2501.222052,81,64,0,17,1,Novak Djokovic
2014,104918,2500.620481,80,60,0,20,1,Andy Murray
2004,103720,2500.224275,86,68,0,18,1,Lleyton Hewitt
1988,100656,2496.297702,49,41,0,8,1,Ivan Lendl
2009,104745,2494.371512,82,68,0,14,0,Rafael Nadal
2012,104745,2494.253369,49,42,0,7,22,Rafael Nadal
1994,101414,2494.186873,67,50,0,17,0,Boris Becker
1985,101062,2493.427179,91,70,0,21,0,Mats Wilander
1993,101964,2492.148924,75,54,0,21,2,Goran Ivanisevic
2002,103720,2491.985614,78,62,0,16,1,Lleyton Hewitt
1986,101062,2489.908823,67,54,0,13,1,Mats Wilander
1997,102035,2485.949985,97,71,0,26,0,Jonas Bjorkman
2006,104745,2483.999196,72,60,0,12,1,Rafael Nadal
2011,104542,2483.969073,81,57,0,24,1,Jo Wilfried Tsonga
2003,103909,2482.314482,77,61,0,16,1,Guillermo Coria
2013,105223,2481.878398,68,52,0,16,2,Juan Martin Del Potro
1991,101414,2479.139378,63,50,0,13,2,Boris Becker
1996,101414,2478.688227,57,42,0,15,0,Boris Becker
1989,100581,2477.502539,58,47,0,11,1,John Mcenroe
1988,101426,2476.773543,59,50,0,9,0,Kent Carlsson
1994,101723,2476.277554,61,39,0,22,0,Magnus Larsson
1988,101062,2474.181291,65,53,0,12,0,Mats Wilander
1989,101073,2474.08813,66,51,0,15,2,Martin Jaite
2011,103970,2473.521198,78,59,0,19,0,David Ferrer
2010,104417,2473.510537,79,57,0,22,1,Robin Soderling
1995,101414,2472.389104,73,54,0,19,0,Boris Becker
1993,101404,2472.275897,98,77,0,21,0,Thomas Muster
1999,101948,2471.645994,49,39,0,10,1,Pete Sampras
1996,102358,2471.46586,87,58,0,29,1,Thomas Enqvist
2007,103970,2471.179219,84,61,0,23,1,David Ferrer
1995,101404,2471.07806,105,86,0,19,0,Thomas Muster
2012,104607,2470.704446,84,61,0,23,1,Tomas Berdych
1995,102021,2469.477977,84,65,0,19,0,Michael Chang
1998,101948,2468.962013,79,61,0,18,1,Pete Sampras
2004,104053,2468.585203,92,74,0,18,0,Andy Roddick
1991,101948,2467.119406,71,52,0,19,1,Pete Sampras
2015,104527,2467.037388,74,55,0,19,2,Stanislas Wawrinka
2001,103163,2466.529781,77,55,0,22,2,Tommy Haas
1998,102257,2465.667622,75,53,0,22,1,Greg Rusedski
1992,101793,2465.435032,88,70,0,18,1,Jim Courier
2013,104918,2465.181468,51,43,0,8,11,Andy Murray
1990,100656,2464.887584,62,52,0,10,0,Ivan Lendl
1988,101222,2464.560515,85,67,0,18,0,Stefan Edberg
2005,104053,2463.90008,74,59,0,15,2,Andy Roddick
1993,102021,2462.505705,87,66,0,21,0,Michael Chang
1996,102338,2462.096642,105,80,0,25,0,Yevgeny Kafelnikov
2007,104925,2461.288208,87,68,0,19,1,Novak Djokovic
2010,104918,2460.298148,64,46,0,18,1,Andy Murray
1997,102158,2460.018111,95,66,0,29,1,Patrick Rafter
2003,101736,2458.265632,57,47,0,10,1,Andre Agassi
1990,101948,2457.049008,67,50,0,17,0,Pete Sampras
1989,101381,2456.778041,70,50,0,20,1,Aaron Krickstein
1994,102021,2455.300505,88,67,0,21,0,Michael Chang
1989,100763,2455.218282,77,60,0,17,1,Brad Gilbert
2001,102338,2454.68851,97,69,0,28,1,Yevgeny Kafelnikov
1995,102358,2453.027521,87,63,0,24,2,Thomas Enqvist
1985,100284,2452.774556,64,48,0,16,9,Jimmy Connors
2000,102856,2452.179053,86,64,0,22,1,Gustavo Kuerten
2006,103602,2450.445615,72,50,0,22,2,Fernando Gonzalez
1998,101736,2448.499143,86,68,0,18,1,Andre Agassi
1987,101138,2447.433657,61,45,0,16,1,Pat Cash
1988,100284,2447.274483,51,40,0,11,10,Jimmy Connors
1991,101793,2446.589954,78,58,0,20,0,Jim Courier
2002,101736,2445.591883,66,54,0,12,1,Andre Agassi
1992,100656,2445.527154,75,51,0,24,3,Ivan Lendl
1991,100656,2445.393429,73,55,0,18,0,Ivan Lendl
1992,101222,2445.3219,92,68,0,24,0,Stefan Edberg
1996,101964,2445.083012,103,77,0,26,0,Goran Ivanisevic
2013,103819,2444.835105,62,45,0,17,2,Roger Federer
1988,101404,2443.599156,67,51,0,16,6,Thomas Muster
2011,104607,2443.515736,77,53,0,24,1,Tomas Berdych
2008,103900,2443.159896,60,44,0,16,0,David Nalbandian
2010,104792,2442.826986,66,46,0,20,0,Gael Monfils
2002,103387,2441.651746,75,50,0,25,2,Paradorn Srichaphan
1998,102158,2441.623774,81,60,0,21,3,Patrick Rafter
2006,103484,2441.277826,85,60,0,25,1,James Blake
2009,104417,2440.98028,69,46,0,23,1,Robin Soderling
1994,101964,2440.620875,92,65,0,27,0,Goran Ivanisevic
1987,100763,2440.583239,78,55,0,23,1,Brad Gilbert
1997,101434,2439.305753,81,56,0,25,2,Petr Korda
2007,103900,2438.494709,49,31,0,18,2,David Nalbandian
2002,102845,2438.308,79,58,0,21,1,Carlos Moya
1998,101774,2438.139944,65,44,0,21,2,Todd Martin
2007,104053,2437.286188,70,54,0,16,0,Andy Roddick
1987,100689,2437.087561,57,43,0,14,4,Tim Mayotte
1985,100757,2437.021508,77,56,0,21,0,Anders Jarryd
1987,101414,2437.018676,69,53,0,16,1,Boris Becker
1997,101990,2436.659594,69,50,0,19,3,Richard Krajicek
1992,101529,2435.709566,68,47,0,21,0,Michael Stich
1991,102021,2435.208377,67,47,0,20,0,Michael Chang
1991,101098,2434.426236,84,63,0,21,0,Guy Forget
1986,101426,2433.646131,57,44,0,13,5,Kent Carlsson
2015,105453,2433.137154,72,55,0,17,2,Kei Nishikori
2005,101736,2433.087089,51,38,0,13,1,Andre Agassi
2015,103970,2433.086519,71,55,0,16,2,David Ferrer
2003,103900,2432.7052,63,42,0,21,1,David Nalbandian
2005,103900,2432.603421,63,44,0,19,1,David Nalbandian
2000,102450,2432.337228,83,58,0,25,2,Tim Henman
1991,101529,2432.302986,100,74,0,26,0,Michael Stich
1991,101320,2432.264136,69,52,0,17,8,Magnus Gustafsson
2011,104417,2431.948487,47,38,0,9,20,Robin Soderling
1998,102450,2431.826836,88,59,0,29,1,Tim Henman
2010,103888,2431.672307,55,40,0,15,8,Mardy Fish
1997,102338,2431.358546,82,55,0,27,1,Yevgeny Kafelnikov
2005,103344,2431.155718,81,57,0,24,0,Ivan Ljubicic
1993,101222,2430.472754,87,61,0,26,0,Stefan Edberg
1996,102021,2430.282081,84,65,0,19,2,Michael Chang
1986,100763,2429.96371,63,47,0,16,7,Brad Gilbert
2005,103720,2429.852704,48,38,0,10,7,Lleyton Hewitt
2000,103720,2429.101522,79,61,0,18,0,Lleyton Hewitt
2006,103786,2428.945707,99,70,0,29,0,Nikolay Davydenko
2015,104755,2427.785179,60,43,0,17,3,Richard Gasquet
2014,104745,2427.209016,60,49,0,11,3,Rafael Nadal
2003,102783,2427.103468,99,70,0,29,1,Rainer Schuettler
2004,103498,2426.445106,73,50,0,23,1,Marat Safin
2001,102158,2425.760126,66,48,0,18,0,Patrick Rafter
1986,100936,2425.11019,60,46,0,14,1,Henri Leconte
1994,102238,2424.761064,91,65,0,26,0,Alberto Berasategui
2000,101948,2424.744427,54,41,0,13,1,Pete Sampras
1998,102338,2424.386649,87,58,0,29,1,Yevgeny Kafelnikov
2002,103819,2423.973338,81,59,0,22,1,Roger Federer
1987,100757,2423.570526,63,43,0,20,0,Anders Jarryd
1994,101820,2423.43627,76,49,0,27,3,Marc Rosset
2008,104468,2423.198785,79,52,0,27,1,Gilles Simon
1999,102257,2423.013459,75,49,0,26,3,Greg Rusedski
1992,101098,2422.384215,70,47,0,23,0,Guy Forget
1998,102374,2422.119555,78,57,0,21,1,Alex Corretja
2000,102374,2422.082049,73,55,0,18,1,Alex Corretja
